lat lon 18O H/D
-77.73713 162.01464 -44.32 -355.90
-77.73715 162.01392 -43.21 -347.60
-77.73718 162.01319 -43.55 -350.70
-77.73720 162.01247 -42.40 -341.40
-77.73725 162.01108 -42.64 -341.60
-77.73728 162.01039 -41.52 -334.30
-77.73731 162.00969 -41.11 -331.80
-77.73733 162.00900 -40.70 -328.10
-77.73736 162.00830 -41.49 -333.20
-77.73741 162.00688 -41.58 -334.10
-77.73743 162.00618 -42.13 -339.10
-77.73745 162.00547 -43.20 -346.90
-77.73748 162.00476 -42.59 -344.00
-77.73750 162.00405 -40.79 -339.40
-77.73756 162.00264 -42.76 -343.20
-77.73759 162.00194 -42.76 -344.40
-77.73761 162.00124 -42.69 -343.90
-77.73764 162.00053 -42.93 -344.10
-77.73767 161.99983 -42.49 -340.50
-77.73774 161.99841 -42.70 -345.40
-77.73778 161.99770 -42.29 -342.70
-77.73781 161.99699 -42.72 -345.00
-77.73785 161.99628 -41.99 -338.20
-77.73788 161.99557 -42.50 -341.70
-77.73797 161.99420 -41.89 -338.00
-77.73802 161.99351 -42.61 -343.90
-77.73806 161.99282 -42.62 -344.50
-77.73811 161.99214 -42.60 -342.80
-77.73815 161.99145 -42.64 -343.20
-77.73823 161.99005 -41.86 -336.50
-77.73827 161.98935 -42.17 -336.40
-77.73831 161.98864 -41.87 -338.40
-77.73835 161.98794 -41.31 -333.60
-77.73839 161.98724 -41.73 -332.50
-77.73846 161.98585 -41.63 -335.90
-77.73849 161.98516 -41.57 -334.00
-77.73852 161.98446 -41.83 -335.80
-77.73856 161.98377 -41.39 -332.30
-77.73859 161.98307 -41.53 -334.50
-77.73867 161.98171 -42.16 -337.20
-77.73872 161.98103 -42.32 -339.30
-77.73876 161.98034 -41.84 -335.80
-77.73880 161.97966 -42.30 -340.70
-77.73884 161.97898 -41.90 -336.80
-77.73895 161.97762 -42.12 -338.20
-77.73901 161.97695 -42.16 -339.90
-77.73907 161.97627 -43.10 -346.40
-77.73912 161.97559 -42.66 -343.80
-77.73918 161.97491 -41.48 -334.50
-77.73929 161.97355 -41.26 -333.50
-77.73935 161.97287 -41.48 -330.80
-77.73941 161.97218 -41.71 -335.60
-77.73946 161.97150 -41.38 -328.90
-77.73952 161.97082 -42.02 -339.00
-77.73963 161.96945 -41.99 -337.50
-77.73969 161.96877 -42.38 -343.80
-77.73974 161.96808 -41.43 -332.50
-77.73980 161.96740 -41.95 -336.80
-77.73985 161.96671 -43.11 -345.50
-77.73996 161.96536 -42.36 -342.80
-77.74001 161.96468 -41.43 -333.50
-77.74006 161.96400 -41.94 -336.80
-77.74012 161.96333 -41.68 -335.20
-77.74017 161.96265 -42.86 -342.80
-77.74027 161.96118 -41.21 -330.20
-77.74033 161.96045 -40.80 -328.60
-77.74038 161.95972 -41.07 -329.80
-77.74043 161.95898 -41.31 -364.90
-77.74048 161.95825 -41.70 -334.00
-77.74061 161.95696 -41.72 -332.60
-77.74068 161.95631 -41.86 -330.40
-77.74074 161.95566 -41.55 -333.00
-77.74081 161.95502 -41.62 -334.70
-77.74087 161.95437 -41.86 -336.00
-77.74120 161.95115 -42.72 -345.30
-77.74126 161.95051 -43.58 -352.50
-77.74134 161.94977 -43.30 -348.30
-77.74141 161.94902 -42.92 -345.50
-77.74151 161.94761 -43.54 -351.40
-77.74159 161.94682 -42.93 -345.80
-77.74166 161.94602 -42.39 -343.70
-77.74177 161.94476 -43.96 -353.80
-77.74177 161.94476 -41.42 -331.20
-77.74182 161.94414 -43.52 -351.80
-77.74182 161.94414 -42.70 -343.30
-77.74187 161.94351 -42.97 -345.50
-77.74187 161.94351 -42.31 -340.40
-77.74193 161.94288 -42.85 -344.60
-77.74198 161.94225 -42.75 -344.00
-77.74208 161.94087 -42.11 -333.20
-77.74214 161.94018 -41.19 -328.30
-77.74219 161.93949 -41.63 -333.40
-77.74224 161.93880 -40.92 -327.70
-77.74229 161.93811 -42.96 -346.50
-77.74239 161.93668 -42.34 -344.80
-77.74244 161.93597 -42.49 -342.70
-77.74248 161.93525 -42.63 -344.90
-77.74253 161.93454 -43.39 -375.50
-77.74258 161.93382 -42.74 -343.50
-77.74266 161.93244 -42.73 -343.80
-77.74270 161.93175 -42.51 -344.30
-77.74274 161.93105 -42.83 -348.20
-77.74278 161.93036 -43.50 -350.70
-77.74282 161.92967 -43.06 -347.60
-77.74289 161.92822 -42.98 -346.20
-77.74293 161.92750 -42.98 -347.10
-77.74296 161.92678 -42.25 -341.00
-77.74300 161.92605 -42.27 -338.70
-77.74303 161.92533 -42.16 -342.30
-77.74310 161.92392 -42.10 -337.70
-77.74314 161.92321 -42.17 -340.00
-77.74317 161.92250 -41.06 -330.90
-77.74321 161.92180 -41.30 -327.30
-77.74324 161.92109 -40.24 -324.20
-77.74330 161.91969 -42.64 -343.00
-77.74332 161.91900 -41.58 -334.30
-77.74335 161.91830 -41.99 -336.10
-77.74338 161.91760 -41.19 -331.00
-77.74344 161.91687 -41.67 -336.20
-77.74346 161.91602 -41.40 -332.90
-77.74349 161.91516 -42.19 -337.70
-77.74352 161.91431 -42.64 -345.60
-77.74357 161.91347 -41.24 -331.50
-77.74361 161.91264 -41.30 -334.00
-77.74364 161.91181 -41.06 -329.00
-77.74366 161.91094 -41.59 -335.00
-77.74370 161.91007 -39.90 
-77.74374 161.90925 -42.34 -342.90
-77.74377 161.90844 -41.39 -331.20
-77.74379 161.90757 -42.42 -345.10
-77.74381 161.90674 -40.77 -321.50
-77.74385 161.90591 -40.98 -328.60
-77.74390 161.90513 -40.13 -325.80
-77.74394 161.90416 -41.89 -337.70
-77.74399 161.90333 -41.10 -330.70
-77.74404 161.90252 -40.25 -325.40
-77.74408 161.90169 -40.74 -329.70
-77.74414 161.90084 -41.93 -337.20
-77.74420 161.90002 -41.88 -338.20
-77.74425 161.89921 -42.20 -337.80
-77.74429 161.89837 -41.37 -335.30
-77.74434 161.89757 -40.80 -325.50
-77.74440 161.89592 -39.66 -314.00
-77.74440 161.89678 -40.99 -330.60
-77.74443 161.89503 -40.86 -328.20
-77.74446 161.89419 -41.14 -330.20
-77.74449 161.89336 -41.88 -334.70
-77.74454 161.89253 -41.38 -334.60
-77.74459 161.89163 -43.87 -341.40
-77.74463 161.89077 -41.46 -335.80
-77.74464 161.88993 -42.33 -343.50
-77.74470 161.88819 -40.68 -320.00
-77.74470 161.88905 -41.67 -335.80
-77.74474 161.88740 -40.63 
-77.74479 161.88654 -42.92 -350.80
-77.74484 161.88482 -40.88 -328.60
-77.74484 161.88565 -42.38 -340.90
-77.74487 161.88403 -41.02 -329.50
-77.74491 161.88312 -40.57 -321.40
-77.74494 161.88238 -41.62 -335.90
-77.74496 161.88148 -40.22 -320.10
-77.74500 161.88063 -42.68 -341.50
-77.74504 161.87978 -41.17 -331.90
-77.74508 161.87890 -39.85 -319.10
-77.74511 161.87810 -41.68 -332.80
-77.74515 161.87723 -40.24 -320.20
-77.74517 161.87639 -40.54 -327.30
-77.74521 161.87559 -40.86 -329.70
-77.74527 161.87472 -40.78 -331.40
-77.74530 161.87393 -41.39 -331.90
-77.74534 161.87305 -42.08 -339.50
-77.74535 161.87222 -40.12 -321.50
-77.74539 161.87136 -41.12 -330.10
-77.74541 161.87049 -42.08 -340.30
-77.74548 161.86964 -42.16 -338.30
-77.74550 161.86884 -42.04 -339.20
-77.74555 161.86716 -41.34 -333.40
